,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,-16.99,78,0,8.23,clear sky
1,Kulhudhuffushi,MV,6.6221,73.07,29.36,69,11,2.76,few clouds
2,Carutapera,BR,-1.195,-46.02,24.67,92,100,2.89,light rain
3,Dikson,RU,73.5069,80.5464,-2.24,84,100,9.46,overcast clouds
4,Bambous Virieux,MU,-20.3428,57.7575,28.45,69,40,7.72,scattered clouds
5,Albany,US,42.6001,-73.9662,7.9,86,90,1.3,overcast clouds
6,At-Bashi,KG,41.1702,75.8106,12.15,46,9,1.16,clear sky
7,Atuona,PF,-9.8,-139.0333,26.1,75,14,6.79,few clouds
8,Butaritari,KI,3.0707,172.7902,27.7,69,100,1.67,overcast clouds
9,Sitka,US,57.0531,-135.33,2.94,48,0,2.06,clear sky
10,Ushuaia,AR,-54.8,-68.3,5.81,75,0,2.57,clear sky
11,Pisco,PE,-13.7,-76.2167,17.23,82,0,2.06,clear sky
12,Rikitea,PF,-23.1203,-134.9692,25.34,71,8,7.47,light rain
13,Leningradskiy,RU,69.3833,178.4167,-8.06,95,100,4.79,overcast clouds
14,Rocha,UY,-34.4833,-54.3333,12.85,74,94,1.31,overcast clouds
15,Douglas,US,41.3,-96.167,4.9,37,100,5.14,overcast clouds
16,Hasaki,JP,35.7333,140.8333,11.22,88,100,11.84,light rain
17,Jamestown,US,42.097,-79.2353,8.34,41,40,5.66,scattered clouds
18,Muros,ES,42.7762,-9.0603,10.09,90,0,2.66,clear sky
19,Dryden,CA,49.7833,-92.7503,-7.84,93,100,2.57,overcast clouds
20,Hobart,AU,-42.8794,147.3294,18.92,65,75,4.63,broken clouds
21,Busselton,AU,-33.65,115.3333,22.5,56,0,3.02,clear sky
22,Mataura,NZ,-46.1927,168.8643,11.67,74,10,0.98,clear sky
23,Upernavik,GL,72.7868,-56.1549,-28.56,99,33,2.96,scattered clouds
24,Faanui,PF,-16.4833,-151.75,27.88,72,6,8.16,clear sky
25,Hilo,US,19.7297,-155.09,23.85,83,100,4.12,heavy intensity rain
26,Severo-Kurilsk,RU,50.6789,156.125,-0.09,76,27,4.82,scattered clouds
27,Katobu,ID,-4.9408,122.5276,29.26,75,83,0.78,broken clouds
28,Georgetown,MY,5.4112,100.3354,31.96,73,40,3.6,scattered clouds
29,Henties Bay,NA,-22.116,14.2845,15.72,89,28,2.87,scattered clouds
30,Maceio,BR,-9.6658,-35.7353,23.69,94,20,2.57,few clouds
31,Jiwani,PK,25.05,61.7417,29.43,64,6,3.38,clear sky
32,Suruc,TR,36.9761,38.425,16.39,29,0,1.47,clear sky
33,Oktyabrskiy,RU,54.4815,53.471,5.44,95,100,7.26,overcast clouds
34,Starokamyshinsk,RU,55.0554,61.6031,19.1,63,100,5.54,overcast clouds
35,Sidrolandia,BR,-20.9319,-54.9614,14.43,92,1,3.47,light rain
36,San Patricio,US,28.017,-97.5169,23.83,96,76,2.77,broken clouds
37,Nikolskoye,RU,59.7035,30.7861,3.78,83,99,2.19,overcast clouds
38,Iqaluit,CA,63.7506,-68.5145,-20.15,65,0,7.2,clear sky
39,Balclutha,NZ,-46.2339,169.75,11.28,67,6,1.14,clear sky
40,Chokurdakh,RU,70.6333,147.9167,-11.16,95,100,3.89,light snow
41,New Norfolk,AU,-42.7826,147.0587,18.72,56,100,0.89,overcast clouds
42,Yellowknife,CA,62.456,-114.3525,-10.95,78,40,2.57,scattered clouds
43,Port Lincoln,AU,-34.7333,135.8667,21.09,64,12,4.0,few clouds
44,Bredasdorp,ZA,-34.5322,20.0403,14.18,61,100,6.27,overcast clouds
45,Esperance,AU,-33.8667,121.9,22.91,57,0,4.16,clear sky
46,Punta Arenas,CL,-53.15,-70.9167,8.06,93,75,3.09,fog
47,Olafsvik,IS,64.8945,-23.7142,6.73,87,58,11.36,broken clouds
48,Bonavista,CA,48.6499,-53.1147,-1.31,84,99,5.3,overcast clouds
49,Yulara,AU,-25.2406,130.9889,36.91,12,16,2.57,few clouds
50,Biak,ID,-0.9131,122.8766,27.86,76,54,1.02,broken clouds
51,East London,ZA,-33.0153,27.9116,17.52,72,20,8.23,few clouds
52,Aklavik,CA,68.2191,-135.0107,-21.58,98,99,2.69,overcast clouds
53,Constitucion,CL,-35.3333,-72.4167,11.5,92,64,1.51,broken clouds
54,Barra Do Corda,BR,-5.5,-45.25,21.92,98,94,1.32,overcast clouds
55,Port Alfred,ZA,-33.5906,26.891,16.21,82,100,3.58,overcast clouds
56,Vaini,TO,-21.2,-175.2,27.09,89,20,3.09,few clouds
57,Castro,BR,-24.7911,-50.0119,11.5,85,100,2.81,overcast clouds
58,Saldanha,ZA,-33.0117,17.9442,14.03,69,0,13.25,clear sky
59,Tessalit,ML,20.1986,1.0114,23.54,18,0,3.95,clear sky
60,Skelleftea,SE,64.7507,20.9528,1.2,64,0,3.6,clear sky
61,Saint George,US,37.1041,-113.5841,14.58,25,0,2.06,clear sky
